instrument_name,industry,total_percentage,fund_count
"Metro Brands Ltd.","Consumer Durables",2.6916,1
"Premier Explosives Ltd.","Chemicals & Petrochemicals",2.6915,1
"Tourism Finance Corporation of India Ltd.","Finance",2.6896,1
"QUESS CORP LTD","Commercial Services & Supplies",2.6866,1
"BMO Investments Inc/Canada","",2.6824,1
"EQ - SWIGGY LTD","Retailing",2.6777,1
"Fusion Finance Limited","Finance",2.665,1
"Ambika Cotton Mills Ltd.","Textiles & Apparels",2.6615,1
"National Building Construction Corp","Construction",2.6576,1
"Daikin Industries Ltd","Building Products",2.6519,1
"Paras Defence and Space Technologies Limited","Aerospace & Defense",2.6504,1
"Nitin Spinners Limited","Textiles & Apparels",2.6464,1
"EQ - PRAJ INDUSRIES LTD.","Industrial Manufacturing",2.6388,1
"Canara HSBC Life Insurance company Ltd","Insurance",2.6272,1
"Clean Science & Technology Ltd.","Chemicals & Petrochemicals",2.6247,1
"Crompton Greaves Consumer Electrical Ltd","Consumer Durables",2.6235,1
"CMS Info System Limited","Commercial Services & Supplies",2.622,1
"EQ - ANTHEM BIOSCIENCES LTD","Pharmaceuticals & Biotechnology",2.619,1
"GCS Holdings Inc","Semiconductors",2.6151,1
"EQ - DABUR INDIA LTD.","Personal Products",2.5956,1
"EQ - GLAXOSMITHKLINE PHARMACEUTICA","Pharmaceuticals & Biotechnology",2.5919,1
"Redington (India) Ltd.","Commercial Services & Supplies",2.5828,1
"EQ - ZYDUS LIFESCIENCES LTD","Pharmaceuticals & Biotechnology",2.5783,1
"Fast Retailing Co Ltd","Apparel Retail",2.5773,1
"HYUNDAI MOTORS INDIA LTD","Automobiles",2.5732,1
"Privi Speciality Chemicals Ltd.","Chemicals & Petrochemicals",2.5688,1
"Macronix International Co Ltd","Semiconductors",2.5668,1
"E2E Networks Ltd.","It - Services",2.5663,1
"Amazon.Com Inc","Retailing",2.56,1
"CSB Bank Ltd","Banks",2.553,1
"Estee Lauder Cos Inc","Consumer Durables",2.5516,1
"Indian Hotels Company Ltd.","Leisure Services",2.5515,1
"DEE DEVELOPMENT ENGINEEERS LTD","Industrial Manufacturing",2.5486,1
"Tamilnad Mercantile Bank Ltd.","Banks",2.5435,1
"EQ - UNITED BREWERIES LTD.","Beverages",2.541,1
"Danaher Corp","Trading",2.529,1
"EQ - NAVIN FLUORINE INTERNATIONAL L","Chemicals & Petrochemicals",2.5248,1
"Kirloskar Ferrous Ind Ltd","Ferrous Metals",2.5211,1
"Diamond Power Infra Limited","Electrical Equipment",2.5208,1
"The Clorox Company","Consumer Non Durables",2.5196,1
"MedPlus Health Services Limited","Retailing",2.5143,1
"Voltamp Transformers Limited","Electrical Equipment",2.512,1
"Trualt Bioenergy Ltd","Agricultural Food & Other Products",2.5116,1
"JM Financial Limited","Finance",2.5097,1
"EQ - LIC HOUSING FINANCE LTD.","Finance",2.4985,1
"MERCK & CO.INC","Pharmaceuticals",2.4948,1
"Makemytrip Ltd","Leisure Services",2.4832,1
"Swan Corp Limited","Chemicals & Petrochemicals",2.4822,1
"Daifuku Co Ltd","Industrial Machinery & Supplies & Components",2.4777,1
"EQ - MEESHO LTD","Retailing",2.4772,1
"EQ - KARUR VYSYA BANK LTD.","Banks",2.4764,1
"Godawari Power And Ispat limited","Industrial Products",2.4719,1
"Fositek Corp","Electronic Components",2.4711,1
"LPL Financial Holdings Inc","Financial Services",2.4685,1
"Lumax Industries Ltd","Auto Components",2.4638,1
"Aye Finance Limited","Finance",2.4635,1
"Broadridge Financial Solutions","Financial Services",2.4561,1
"EQ - HINDUSTAN PETROLEUM CORPN. LTD","Petroleum Products",2.4557,1
"Interarch Building Solutions Ltd.","Construction",2.4538,1
"Strides Pharma Science Ltd","Pharmaceuticals & Biotechnology",2.4472,1
"Southern Copper Corp","Metals & Mining",2.4457,1
"Igarashi Motors Ltd","Auto Components",2.4426,1
"EQ - ASTER DM QUALITY CARE LIMITED","Healthcare Services",2.442,1
"Nippon Life Asset Management Ltd","Capital Markets",2.4368,1
"Insolation Energy Ltd.","Electrical Equipment",2.4353,1
"EQ - POWER FINANCE CORPORATION LTD.","Finance",2.4351,1
"Constellation Brands Inc","Distillers & Vintners",2.435,1
"ORIENT ELECTRIC LTD","Consumer Durables",2.426,1
"Tyler Technologies Inc","Application Software",2.425,1
"Somany Ceramics Ltd","Consumer Durables",2.4184,1
"JANA SMALL FINANCE BANK","Banks",2.4176,1
"Zimmer Biomet Holdings Inc","Health Care Equipment",2.4115,1
"Taiwan Semiconductor Manufacturin Co Ltd","It - Hardware",2.4076,1
"Procter & Gamble Hygiene & Health Care Limited","Personal Products",2.403,1
"GNA Axles Ltd","Auto Components",2.4013,1
"Seagate Technology Holdings PLC","It - Services",2.4011,1
"360 ONE WAM Ltd (Prev IIFL Wealth Management Ltd)","Capital Markets",2.3978,1
"Neogen Chemicals Ltd.","Chemicals & Petrochemicals",2.3976,1
"Equitable Holdings Inc","Insurance",2.3975,1
"Netweb Technologies India","It - Services",2.3964,1
"Tencent Holdings Ltd","Finance",2.3914,1
"EQ - YATRA ONLINE LTD.","Leisure Services",2.3909,1
"TDK Corp","Electronic Components",2.3776,1
"Shin Etsu Chemical Co","Specialty Chemicals",2.3773,1
"All Ring Tech Co Ltd","Electronic Equipment & Instruments",2.3739,1
"Carysil Ltd","Consumer Durables",2.3706,1
"Copart Inc","Diversified Support Services",2.3641,1
"Larsen & Toubro Infotech Ltd","It - Software",2.3601,1
"EQ - FORTIS HEALTHCARE LTD.","Healthcare Services",2.3559,1
"JK TYRE & INDUSTRIES LTD","Auto Components",2.3552,1
"EQ - ADITYA BIRLA CAPITAL LTD","Finance",2.3446,1
"Airbnb INC","Hotels",2.3382,1
"PTC India Financial Services Limited","Finance",2.338,1
"Mondelez International Inc","Packaged Foods & Meats",2.3375,1
"Gujarat Gas Ltd.","Gas",2.334,1
"Technocraft Industries (India) Limited","Industrial Products",2.3308,1
"SignatureGlobal (India) Limited","Realty",2.3295,1
"EQ - SHIPROCKET LIMITED","Transport Services",2.3281,1
"Gillette India Limited","Personal Products",2.3258,1
"RAJRATAN GLOBAL WIRE LIMITED","Auto Components",2.322,1
"EQ - MAX FINANCIAL SERVICES LTD.","Insurance",2.3181,1
"Afcom Holdings Ltd","Transport Services",2.3167,1
"EQ - NIPPON LIFE INDIA ASSET MANAGE","Capital Markets",2.3154,1
"Clean Science and Technology Limited","Chemicals & Petrochemicals",2.3082,1
"United Foodbrands Limited","Leisure Services",2.306,1
"Salesforce Inc","Application Software",2.3048,1
"Tokyo Electron Ltd","Semiconductor Materials & Equipment",2.2946,1
"Blue Jet Healthcare Ltd","Pharmaceuticals & Biotechnology",2.2944,1
"EQ - BRIGADE ENTERPRISES LTD.","Realty",2.2878,1
"Aegis Vopak Terminals Limited","Oil",2.2822,1
"The Ethos Ltd.","Consumer Durables",2.2792,1
"Kenvue Inc","Consumer Non Durables",2.2776,1
"TANFAC Industries Ltd","Chemicals & Petrochemicals",2.2609,1
"EQ - GAIL ( INDIA )LTD.","Gas",2.2608,1
"EQ - VOLTAMP TRANSFORMERS LTD.","Electrical Equipment",2.2542,1
"EQ - RAINBOW CHILDRENS MEDICARE LTD","Healthcare Services",2.254,1
"CIE Automotive India Ltd","Auto Components",2.2534,1
"Walmart Stores","Consumer Non Durables",2.252,1
"EQ - KPIT TECHNOLOGIES LTD","It - Software",2.2468,1
"KEYSTONE REALTORS LTD","Realty",2.2463,1
"Century Plyboards (India) Ltd.","Consumer Durables",2.246,1
"Xpro India Limited","Industrial Products",2.2444,1
"EQ - BAJAJ FINSERV LTD.","Finance",2.2442,1
"OTIS WORLDWIDE CORP","Industrial Capital Goods",2.2434,1
"G R Infra projects Ltd.","Construction",2.2381,1
"Mahindra Logistics Ltd","Transport Services",2.2328,1
"Varroc Engineering Limited","Auto Components",2.2295,1
"Mold-Tek Packaging Ltd","Industrial Products",2.2294,1
"EQ - MARKSANS PHARMA LTD.","Pharmaceuticals & Biotechnology",2.2278,1
"EQ - GLENMARK PHARMACEUTICALS LTD.","Pharmaceuticals & Biotechnology",2.2258,1
"AWL Agri Business Limited","Agricultural Food & Other Products",2.2256,1
"UTI Asset Management Company Limited","Capital Markets",2.224,1
"EQ - DALMIA BHARAT LTD","Cement & Cement Products",2.2227,1
"EQ - OIL INDIA LTD.","Oil",2.2187,1
"Vadilal Industries Limited","Food Products",2.2111,1
"EQ - COHANCE LIFESCIENCES LIMITED","Pharmaceuticals & Biotechnology",2.2109,1
"EQ - CRISIL LTD.","Finance",2.2066,1
"Gaja Alternative Asset Management Ltd","Capital Markets",2.2052,1
"GREENPANEL INDUSTRIES LTD","Consumer Durables",2.2007,1
"Waterways Leisure Tourism Limited","Leisure Services",2.1992,1
"Masco Corp.","Building Products",2.194,1
"Mayur Uniquoters Ltd","Consumer Durables",2.1922,1
"Zoetis Inc","Pharmaceuticals",2.1921,1
"Juniper Green Energy Ltd.","Power",2.188,1
"EQ - BERGER PAINTS INDIA LTD.","Consumer Durables",2.1852,1
"Browave Corp","Communications Equipment",2.1849,1
"Sandhar Technologies Limited","Auto Components",2.1819,1
"EQ- JUPITER LIFE LINE HOSPITALS LTD","Healthcare Services",2.1706,1
"Sanghvi Movers Limited","Commercial Services & Supplies",2.1701,1
"Campus Activewear Limited","Consumer Durables",2.1677,1
"BLS INTERNATIONAL SERVICES LIMITED","Leisure Services",2.1644,1
"EQ - DELHIVERY LTD.","Transport Services",2.1625,1
"Amrutanjan Health Care Ltd.","Pharmaceuticals & Biotechnology",2.1602,1
"Bizlink Holding Inc","Electrical Components & Equipment",2.1591,1
"Poly Medicure Limited","Healthcare Equipment & Supplies",2.1561,1
"GE HealthCare Technologies Inc","Health Care Equipment",2.1497,1
"Kirlosakar Pneumatic Company Ltd","Industrial Products",2.1494,1
"SoftBank Group Corp","Wireless Telecommunication Services",2.1493,1
"G R Infraprojects Limited","Construction",2.1484,1
"Central Mine Planning & Design Institute Limited","Commercial Services & Supplies",2.1462,1
"King Slide Works Co Ltd","Industrial Products",2.1383,1
"Clean Max Enviro Energy Solutions Limited","Power",2.134,1
"ASK Automotive Ltd.","Auto Components",2.1323,1
"Bharat Bijlee Ltd.","Electrical Equipment",2.1304,1
"Sumitomo Elec Indust","Automotive Parts & Equipment",2.122,1
"Agilent Technologies Co Ltd","Technology",2.1219,1
"Regaal Resources Ltd.","Agricultural Food & Other Products",2.1131,1
"Cholamandalam Investment & Finance Co","Finance",2.1077,1
"EQ - VODAFONE IDEA LTD","Telecom - Services",2.1048,1
"FDC LTD","Pharmaceuticals & Biotechnology",2.102,1
"SCHLOSS BANGALORE LTD.","Leisure Services",2.0951,1
"Inox Wind Ltd.","Electrical Equipment",2.095,1
"Oswal Pumps Ltd.","Industrial Products",2.0929,1
"Canara HSBC Life Insurance Co.Ltd.","Insurance",2.0908,1
"EQ - UNITED SPIRITS LTD.","Beverages",2.0903,1
"Indus Towers Ltd (Prev Bharti Infratel Ltd)","Telecom - Services",2.0899,1
"Western Digital Corp","It - Services",2.0895,1
"Gaja Alternative AMC Limited","Capital Markets",2.087,1
"Housing & Urban Development Corporation Limited","Finance",2.0866,1
"Standard Engineering Technology Ltd","Industrial Manufacturing",2.0837,1
"EPL Limited","Industrial Products",2.0795,1
"PSP Projects Limited","Construction",2.0791,1
"EQ - STEEL AUTHORITY OF INDIA LTD.","Ferrous Metals",2.0731,1
"Dodla Dairy Limited","Food Products",2.064,1
"V-Guard Industries Ltd","Consumer Durables",2.0612,1
"Indoco Remedies Limited","Pharmaceuticals & Biotechnology",2.0593,1
"Asahi India Glass Limited","Auto Components",2.0576,1
"FUJIYAMA POWER SYSTEMS LTD","Electrical Equipment",2.0429,1
"Jubilant Ingrevia Limited","Chemicals & Petrochemicals",2.0401,1
"Dalmia Cement (Bharat) Ltd.","Cement & Cement Products",2.0385,1
"EQ - DR LAL PATHLABS LTD.","Healthcare Services",2.0343,1
"TIME TECHNOPLAST LTD","Industrial Products",2.0305,1
"Pitti Engineering Ltd.","Industrial Manufacturing",2.0256,1
"Yatra Online Limited","Leisure Services",2.0233,1
"Brown-Forman Corp","Beverages",2.0218,1
"Repco Home Finance Limited","Finance",2.0195,1
"YASH HIGHVOLTAGE LTD","Electrical Equipment",2.0162,1
"Inventurus Knowledge Solutions Ltd.","It - Services",2.0143,1
"Eli Lilly & Company","Pharmaceuticals & Biotechnology",2.0117,1
"Lam Research Corp","Industrial Manufacturing",2.0099,1
"Bosch Home Comfort India Ltd.","Consumer Durables",2.0091,1
"URBAN CLUB","Retailing",2.0089,1
"VIYASH SCIENTIFIC LTD","Pharmaceuticals & Biotechnology",2.0087,1
"Sundaram Fasteners Ltd.","Auto Components",2.007,1
"Kaveri Seed Company Limited","Agricultural Food & Other Products",2.0016,1
