instrument_name,industry,total_percentage,fund_count
"Cholamandalam Investment and Finance Co Ltd","Finance",26.3046,8
"Data Patterns (India) Ltd.","Aerospace & Defense",26.2131,9
"Crompton Greaves Consumer Electricals Limited","Consumer Durables",26.0869,10
"Havells India Limited","Consumer Durables",25.8486,9
"PTC Industries Limited","Industrial Products",25.6966,9
"HDFC Asset Management Co. Ltd.","Capital Markets",25.1274,11
"ICICI Lombard General Insurance Company Limited","Insurance",25.0494,10
"Amagi Media Labs Limited","It - Services",24.9935,10
"EQ - ITC LTD.","Diversified Fmcg",24.8874,9
"Pfizer Ltd.","Pharmaceuticals & Biotechnology",24.5493,7
"TBO Tek Ltd","Leisure Services",24.4839,7
"BlackBuck Ltd.","Transport Services",24.4001,7
"Astra Microwave Products Ltd.","Aerospace & Defense",24.2518,7
"Azad Engineering Ltd","Electrical Equipment",24.0993,9
"EQ - GRASIM INDUSTRIES LTD.","Cement & Cement Products",23.875,6
"Arvind Ltd.","Textiles & Apparels",23.7784,8
"Happy Forgings Ltd.","Industrial Products",23.5523,7
"UPL Ltd.","Fertilizers & Agrochemicals",23.5407,7
"Schneider Electric Infrastructure Limited","Electrical Equipment",23.4852,8
"CRISIL Ltd.","Finance",23.2154,9
"EQ - DIXON TECHNOLOGIES (INDIA) LTD","Consumer Durables",23.0456,6
"Tube Investments of India Ltd.","Auto Components",22.8472,9
"EQ - HCL TECHNOLOGIES LTD.","It - Software",22.7971,5
"OLA ELECTRIC MOBILITY LIMITED","Automobiles",22.6479,8
"EQ - TECH MAHINDRA LTD.","It - Software",22.5845,6
"EQ - DIVIS LABORATORIES LTD.","Pharmaceuticals & Biotechnology",22.5533,5
"Acme Solar Holdings Ltd.","Power",22.5494,9
"Honasa Consumer Limited","Personal Products",22.547,9
"LIC Housing Finance Ltd.","Finance",22.5322,6
"Urban Company Ltd.","Retailing",22.463,9
"EQ - HERO MOTOCORP LTD.","Automobiles",22.4241,8
"ITC HOTELS LIMITED","Leisure Services",22.4061,4
"EQ - EICHER MOTORS LTD","Automobiles",22.3143,6
"Nuvama Wealth Management Limited","Capital Markets",22.3054,7
"Sky Gold And Diamonds Limited","Consumer Durables",22.1632,7
"EQ - HINDALCO INDUSTRIES LTD.","Non - Ferrous Metals",22.067,6
"TVS Motor Co Ltd","Automobiles",22.0259,6
"Pine Labs Limited","Financial Technology (fintech)",22.005,9
